key,Created Date,data,Incident Zip,Incident Address,Street Name,City,Status,Community Board,Borough,latitude,longitude
29018688,10/06/2014 09:53:00 AM,"Taste/Odor, Musty/Stale (QA4)",11433,156-08 109 AVENUE,109 AVENUE,Jamaica,Closed,12 QUEENS,QUEENS,40.69289694578029,-73.79498764592091
29015294,10/05/2014 04:46:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11379,61-59 77 STREET,77 STREET,Middle Village,Closed,05 QUEENS,QUEENS,40.72243701799294,-73.88157110645682
29009253,10/04/2014 09:52:00 PM,"Taste/Odor, Musty/Stale (QA4)",10019,305 WEST 52 STREET,WEST 52 STREET,NEW YORK,Closed,04 MANHATTAN,MANHATTAN,40.76376435837634,-73.98569394752838
29004301,10/03/2014 10:44:00 AM,"Clear Water With Organisms (Insects, Worms) (QE2)",11210,2458 NOSTRAND AVENUE,NOSTRAND AVENUE,BROOKLYN,Closed,14 BROOKLYN,BROOKLYN,40.62499109337088,-73.94654760160144
28997996,10/02/2014 02:26:00 PM,"Taste/Odor, Musty/Stale (QA4)",10465,2623 SCHURZ AVENUE,SCHURZ AVENUE,BRONX,Closed,10 BRONX,BRONX,40.8125680684305,-73.82487420813825
28992637,10/02/2014 01:19:00 PM,"No Sampling Required, Requested Information (QG2)",10025,305 WEST 98 STREET,WEST 98 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.796674087987974,-73.97250059710146
28994479,10/02/2014 11:39:00 AM,"Taste/Odor, Chemical (QA2)",11222,216 RICHARDSON STREET,RICHARDSON STREET,BROOKLYN,Closed,01 BROOKLYN,BROOKLYN,40.71899507047787,-73.94268435587064
28989212,10/01/2014 11:01:00 PM,"No Sampling Required, Requested Information (QG2)",10304,240 PARK HILL AVENUE,PARK HILL AVENUE,STATEN ISLAND,Closed,01 STATEN ISLAND,STATEN ISLAND,40.61288824997931,-74.08297703202305
28990376,10/01/2014 02:48:00 PM,unknown odor/taste in drinking water (QA6),11249,102 NORTH 8 STREET,NORTH 8 STREET,BROOKLYN,Closed,01 BROOKLYN,BROOKLYN,40.719707535038076,-73.95926750799065
28988971,10/01/2014 02:36:00 PM,"Taste/Odor, Chlorine (QA1)",11418,114-11 85 AVENUE,85 AVENUE,Richmond Hill,Closed,09 QUEENS,QUEENS,40.70177391800953,-73.83635279040985
28987650,10/01/2014 02:07:00 PM,unknown odor/taste in drinking water (QA6),11432,172-70 HIGHLAND AVENUE,HIGHLAND AVENUE,Jamaica,Closed,08 QUEENS,QUEENS,40.713476527294596,-73.7885179760611
28986629,10/01/2014 01:58:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11201,265 HICKS STREET,HICKS STREET,BROOKLYN,Closed,02 BROOKLYN,BROOKLYN,40.693568070089526,-73.9966427170784
28991218,10/01/2014 10:04:00 AM,unknown odor/taste in drinking water (QA6),10017,210 EAST 47 STREET,EAST 47 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN,40.75372697100761,-73.97164125188505
28987226,10/01/2014 09:33:00 AM,"Taste/Odor, Sewer (QA5)",10308,88 WILLOWWOOD LANE,WILLOWWOOD LANE,STATEN ISLAND,Closed,03 STATEN ISLAND,STATEN ISLAND,40.55963211408467,-74.14306253048177
28979002,09/30/2014 06:26:00 PM,"Taste/Odor, Chemical (QA2)",10312,33 STECHER STREET,STECHER STREET,STATEN ISLAND,Closed,03 STATEN ISLAND,STATEN ISLAND,40.53230164583009,-74.18887459921386
28975171,09/29/2014 07:30:00 PM,"Taste/Odor, Chemical (QA2)",10461,1870 HOBART AVENUE,HOBART AVENUE,BRONX,Closed,10 BRONX,BRONX,40.848926015095934,-73.83134247825568
28972144,09/29/2014 02:03:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",11427,80-55 208 STREET,208 STREET,Queens Village,Closed,11 QUEENS,QUEENS,40.73196059652044,-73.76220248755774
28977021,09/29/2014 01:56:00 PM,"No Sampling Required, Requested Information (QG2)",11223,2003 EAST 2 STREET,EAST 2 STREET,BROOKLYN,Closed,15 BROOKLYN,BROOKLYN,40.60066706897376,-73.97024062034016
28974773,09/29/2014 01:36:00 PM,"Taste/Odor, Sewer (QA5)",11203,679 EAST 53 STREET,EAST 53 STREET,BROOKLYN,Closed,17 BROOKLYN,BROOKLYN,40.64298858693281,-73.92650564518881
28970452,09/28/2014 09:53:00 PM,"Taste/Odor, Chlorine (QA1)",11415,84-81 AUSTIN STREET,AUSTIN STREET,Kew Gardens,Closed,09 QUEENS,QUEENS,40.70638972262383,-73.82637225169954
28964465,09/27/2014 06:51:00 AM,"No Sampling Required, Requested Information (QG2)",10452,1380 UNIVERSITY AVENUE,UNIVERSITY AVENUE,BRONX,Closed,04 BRONX,BRONX,40.84242450511792,-73.92592751204384
28957564,09/26/2014 09:00:00 PM,"Taste/Odor, Chemical (QA2)",11355,150-34 BOOTH MEMORIAL AVENUE,BOOTH MEMORIAL AVENUE,Flushing,Closed,07 QUEENS,QUEENS,40.74389441880023,-73.81766022014337
28961057,09/26/2014 02:51:00 PM,"No Sampling Required, Requested Information (QG2)",11221,927 DEKALB AVENUE,DEKALB AVENUE,BROOKLYN,Closed,03 BROOKLYN,BROOKLYN,40.69284089849432,-73.93870049988708
28953220,09/25/2014 11:43:00 PM,"Taste/Odor, Chlorine (QA1)",11222,523 LEONARD STREET,LEONARD STREET,BROOKLYN,Closed,01 BROOKLYN,BROOKLYN,40.72303025259206,-73.94936234402765
28949010,09/25/2014 03:45:00 PM,Cloudy Or Milky Water (QB1),10025,260 RIVERSIDE DRIVE,RIVERSIDE DRIVE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.79714364671336,-73.97339610844126
28952769,09/25/2014 10:31:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11367,79-25 150 STREET,150 STREET,Flushing,Closed,08 QUEENS,QUEENS,40.7196208909642,-73.81323165737591
28948064,09/24/2014 04:04:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",10461,1144 PELHAM PARKWAY SOUTH,PELHAM PARKWAY SOUTH,BRONX,Closed,11 BRONX,BRONX,40.856965325061324,-73.85566890870618
28948260,09/24/2014 03:49:00 PM,Cloudy Or Milky Water (QB1),11358,45-60 196 STREET,196 STREET,Flushing,Closed,11 QUEENS,QUEENS,40.75456519803932,-73.78532674225892
28946239,09/24/2014 11:59:00 AM,"Taste/Odor, Sewer (QA5)",10466,4412 EDSON AVENUE,EDSON AVENUE,BRONX,Closed,12 BRONX,BRONX,40.89950806475055,-73.84712655589094
28938692,09/23/2014 02:15:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",11418,84-12 115 STREET,115 STREET,Richmond Hill,Closed,09 QUEENS,QUEENS,40.70317123182545,-73.83651165864174
28939540,09/23/2014 11:24:00 AM,"No Sampling Required, Requested Information (QG2)",10014,280 WEST 12 STREET,WEST 12 STREET,NEW YORK,Closed,02 MANHATTAN,MANHATTAN,40.73755834517477,-74.00350383885365
28933071,09/22/2014 09:37:00 PM,"Taste/Odor, Musty/Stale (QA4)",11367,150-56 77 ROAD,77 ROAD,Flushing,Closed,08 QUEENS,QUEENS,40.722054084799645,-73.814054598875
28928084,09/22/2014 05:47:00 PM,"Taste/Odor, Sewer (QA5)",11367,150-56 77 ROAD,77 ROAD,Flushing,Closed,08 QUEENS,QUEENS,40.722054084799645,-73.814054598875
28931241,09/22/2014 09:38:00 AM,"Oil, Grease In Water (QD1)",10036,246 WEST 48 STREET,WEST 48 STREET,NEW YORK,Closed,05 MANHATTAN,MANHATTAN,40.76053381527433,-73.98584985977449
28924627,09/21/2014 10:30:00 PM,"No Sampling Required, Requested Information (QG2)",11219,1217 67 STREET,67 STREET,BROOKLYN,Closed,10 BROOKLYN,BROOKLYN,40.625804916045034,-74.00434454606615
28925718,09/21/2014 10:37:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11432,152-06 85 AVENUE,85 AVENUE,Jamaica,Closed,08 QUEENS,QUEENS,40.71199712130041,-73.80729407410665
28921049,09/20/2014 03:44:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",10301,9 CEBRA AVENUE,CEBRA AVENUE,STATEN ISLAND,Closed,01 STATEN ISLAND,STATEN ISLAND,40.63427325831535,-74.08625343942444
28919685,09/20/2014 11:05:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11435,82-08 138 STREET,138 STREET,Jamaica,Closed,08 QUEENS,QUEENS,40.714527878819744,-73.82094379136711
28922552,09/20/2014 01:39:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11415,125-16 83 DRIVE,83 DRIVE,Kew Gardens,Closed,09 QUEENS,QUEENS,40.709860669850606,-73.82740923853368
28910466,09/19/2014 04:53:00 PM,"Taste/Odor, Musty/Stale (QA4)",11367,150-61 77 ROAD,77 ROAD,Flushing,Closed,08 QUEENS,QUEENS,40.722067814386826,-73.81405816822277
28911546,09/19/2014 04:34:00 PM,"Taste/Odor, Chemical (QA2)",11435,147-20 COOLIDGE AVENUE,COOLIDGE AVENUE,Jamaica,Closed,08 QUEENS,QUEENS,40.71496949374222,-73.81214808100275
28914782,09/19/2014 03:22:00 PM,"Taste/Odor, Sewer (QA5)",11375,111-45 76 DRIVE,76 DRIVE,Forest Hills,Closed,06 QUEENS,QUEENS,40.715809192632854,-73.83532271160054
28914326,09/19/2014 02:19:00 PM,unknown odor/taste in drinking water (QA6),11367,150-37 78 ROAD,78 ROAD,Flushing,Closed,08 QUEENS,QUEENS,40.720735529691524,-73.81339448253631
28913394,09/19/2014 01:53:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),11432,80-25 PARSONS BOULEVARD,PARSONS BOULEVARD,Jamaica,Closed,08 QUEENS,QUEENS,40.719410639341916,-73.80888158860446
28916133,09/19/2014 01:20:00 PM,unknown odor/taste in drinking water (QA6),11366,162-18 77 AVENUE,77 AVENUE,Fresh Meadows,Closed,08 QUEENS,QUEENS,40.7242063709894,-73.80597440339679
28915595,09/19/2014 01:17:00 PM,"Taste/Odor, Sewer (QA5)",11432,80-25 PARSONS BOULEVARD,PARSONS BOULEVARD,Jamaica,Closed,08 QUEENS,QUEENS,40.719410639341916,-73.80888158860446
28914322,09/19/2014 08:59:00 AM,unknown odor/taste in drinking water (QA6),11375,111-20 76 ROAD,76 ROAD,Forest Hills,Closed,06 QUEENS,QUEENS,40.716186469580066,-73.83619475432518
